ABS	  	ABS
ABS_DIAGSTATE	  	Diagnostic State
AYC	  	AYC
BFLHPC	  kPa	Brake Fluid Line Hydraulic Pressure (Calculated Value)
BOO_ABS	  	Brake ON/OFF
BRKHYDPRESS	  kPa	Brake Fluid Line Hydraulic Pressure
BST_REL_SW	  	Booster Release Switch State
BTC	  	BTC
BTCS	  	BTCS -201D
DYNOMODE	  	Brake Two-Wheel Dyno Mode
ECU_Int_Temp	  °C	ECU Internal Temperature
EFPS	  	ABS Evacuate and Fill Process Status
EngDragCntrl	  	Engine Drag Control
GLOBTIM	  s	Global real time
HDC	  	HDC
HYD_PMP_ST	  	Hydraulic Pump State
IVCS	  	Inlet Valves Calibration Status
LASCV	  G	Longitudinal Acceleration Rate Compensation Value
LAT_ACCL	  G	Lateral accelerometer
LAT_ACC_CLC	  G	Lateral Acceleration (Calculated Value)
LF_DUMP	  	Left Front Dump
LF_ISO	  	Left Front Isolation valve
LF_RR_TC_ISO2	  	Left Front/Right Rear Traction Control Valve 1
LF_RR_TC_SUP2	  	Left Front/Right Rear Traction Control Supply 1
LF_WSPD	  km/h	Left front wheel speed sensor
LONG_ACCL	  G	Longitudinal Accelerometer Sensor Input
LR_DUMP	  	Left Rear Dump
LR_ISO	  	Left Rear Isolation Valve
LR_WSPD	  km/h	Left rear wheel speed sensor
MAINECUV	  V	Main ECU voltage supply
MCIVCS	  	Master Cylinder Isolation Valve Calibration State
OUTTMP	  °C	External Temperature From Sensor
PMP_MTR	  	Hydraulic Pump Motor
POWER_MODE	  	Power Mode Status
PRK_BRAKE	  	Parking brake Switch
REGEN_BRAKING	  	Regenerative Braking Mode
RF_DUMP	  	Right Front Dump
RF_ISO	  	Right Front Isolation Valve
RF_LR_TC_ISO2	  	Right Front/Left Rear Traction Control Valve 2
RF_LR_TC_SUP2	  	Right Front/Left Rear Traction Control Supply 2
RF_WSPD	  km/h	Right front wheel speed sensor
RR_DUMP	  	Right Rear Dump
RR_ISO	  	Right Rear Isolation Valve
RR_WSPD	  km/h	Right rear wheel speed sensor
RSC	  	RSC
R_GEAR_SW	  	Reverse gear switch
SELTESTDTC	   	Number of On Demand DTCs
STR_ANG_ABS	  °	Steering wheel angle sensor
STR_ANG_RAW	  °	Steering Wheel Angle - Raw
S_LAMP	  	Rear Stop Lamp
TC_HILL_SW	  	Hill Descent Control switch status
TC_SW_STAT	  	Traction Control switch status
TC_SYS_STAT	  	Traction Control system status
TOTAL_DIST	  km	Total Vehicle Distance
TSCntrl	  	Trailer Sway
VAC_BST_ST	  	Active Vacuum Booster State
VPWR_ABS	  V	Module supply voltage
VSS	  km/h	Vehicle Speed
YAW_RATE	  1/min	ABS Yaw Rate Value
YAW_RATE_C	  1/min	Yaw Rate (Calculated Value)
CENTER_SPKR	  	CENTER SPEAKER STATUS
CENTR2_SPKR	  	CENTER 2 SPEAKER STATUS
CENTR_TWEET	  	CENTER TWEETER STATUS
CHN_FREQ	  MHz	Channel Frequency
LF_MR_SPKR	  	LEFT FRONT MID RANGE SPEAKER STATUS
LF_SPKR	  	LEFT FRONT SPEAKER STATUS
LF_TWEETER	  	LEFT FRONT TWEETER STATUS
LR_SPKR	  	LEFT REAR SPEAKER STATUS
LR_TWEETER	  	LEFT REAR TWEETER STATUS
RCENTR_SPKR	  	REAR CENTER SPEAKER STATUS
RF_MR_SPKR	  	RIGHT FRONT MID RANGE SPEAKER STATUS
RF_SPKR	  	RIGHT FRONT SPEAKER STATUS
RF_TWEETER	  	RIGHT FRONT TWEETER STATUS
RR_SPKR	  	RIGHT REAR SPEAKER STATUS
RR_TWEETER	  	RIGHT REAR TWEETER STATUS
SUBWOOFER	  	SUBWOOFER STATUS
SUBWOOFER2	  	SUBWOOFER 2 STATUS
TOTAL_DIST	  km	Total Vehicle Distance
APIM_M_P	  	ECU Mono Primary Source
APIM_P_C	  	ECU Phone Call
APIM_S_P	  	ECU Stereo Primary Source
APIM_S_S	  	ECU Stereo Secondary Source
BATMOD	  V	Battery Module Voltage
BT_CONN	  	Bluetooth Device Connected
BT_PAIR	  	Bluetooth Device Paired
GPS_ALTITUDE	  m	GPS Altitude
GPS_FIX	  	GPS Fix
GPS_HEADING	  °	GPS Heading
GPS_LATITUDE	  °	global position latitude
GPS_LONGITUDE	  °	global position longitude
GPS_SPEED	  km/h	GPS Speed
KEYPOS	  	Ignition key input
USBDEVICE1	  	USB Port #1 Device Connected
USBDEVICE2	  	USB Port #2 Device Connected
VSS	  km/h	Vehicle Speed
AWD_BLDC_SPD	  1/min	Brushless Direct Current Pump Motor Speed
AWD_Clt_EBL	  	EOL Request Mode
AWD_Clt_L_SPT	  Nm	EOL Setpoint Torque Left
AWD_Clt_R_SPT	  Nm	EOL Setpoint Torque Right
AWD_DMD_PRES	  kPa	Rear Drive Unit Demanded Hydraulic Pressure
AWD_ECU_TMP	  °C	All Wheel Drive Module Temperature
AWD_MTR_CURR	  A	Hydraulic Pump Motor Current Load
AWD_REQ_TRQ_L	  Nm	Left Side Requested Torque
AWD_REQ_TRQ_R	  Nm	Right Side Requested Torque
AWD_SWTCH_ST	  	All Wheel Drive Module Mode Select Switch Status
CALC_BLDC_SPD	  1/min	Brushless Direct Current Pump Motor Speed
CAL_COUP_TQ_L	  Nm	Calculated Left Coupling Torque
CAL_COUP_TQ_R	  Nm	Calculated Right Coupling Torque
CLTCH_LPRS_RW	  kPa	Left Clutch Supply Pressure Raw
CLTCH_LTMP_INF	  °C	Left Clutch Temperature Inferred
CLTCH_L_CUR	  A	Left Clutch Solenoid  Measured Control Current
CLTCH_MAX_TMP	  °C	Clutch Maximum Reported Temp
CLTCH_RPRS_RW	  kPa	Right Clutch Supply Pressure Raw
CLTCH_RTMP_INF	  °C	Right Clutch Temperature Inferred
CLTCH_R_CUR	  A	Right Clutch Solenoid Measured Control Current
CLTCH_TMP_TH	   	Clutch Temperature Above Threshold Counter
CLT_VLV_PW_L	  %	Left Clutch Control Valve Pulse Width
CLT_VLV_PW_R	  %	Right Clutch Control Valve Pulse Width
COUP_SPD_DIF_L	  1/min	Left Clutch Coupling Speed Difference
COUP_SPD_DIF_R	  1/min	Right Clutch Coupling Speed Difference
ECU_TMP_TH	   	ECU Temperature Above Threshold Counter
GLOBTIM	  s	Global real time
MAINECUV	  V	Main ECU voltage supply
OUTTMP	  °C	External Temperature From Sensor
POWER_MODE	  	Power Mode Status
REF_COUP_PRES_L	  kPa	Left Clutch Reference Coupling Pressure
REF_COUP_PRES_R	  kPa	Right Clutch Reference Coupling Pressure
R_DIFF_OIL_TMP	  °C	Rear Drive Unit Differential Oil Temperature
SPEED_DIF_FR	  1/min	All Wheel Drive Front To Rear Speed Difference
TOTDIST	  km	Total Distance
TRANS_OIL_TMP	  °C	Rear Drive Unit Sump Oil Temperature
VLV_REF_CUR_L	  A	Left Clutch Valve Reference Current
VLV_REF_CUR_R	  A	Right Clutch Valve Reference Current
VSPD	  km/h	Vehicle Speed
WHL_SPD_LF	  1/min	AWD Left Front Wheel Speed
WHL_SPD_LR	  1/min	AWD Left Rear Wheel Speed
WHL_SPD_RF	  1/min	AWD Right Front Wheel Speed
WHL_SPD_RR	  1/min	AWD Right Rear Wheel Speed
ALARM_1	  	Last Alarm Trigger 1
ALARM_2	  	Last Alarm Trigger 2
ALARM_3	  	Last Alarm Trigger 3
ALARM_4	  	Last Alarm Trigger 4
ALARM_5	  	Last Alarm Trigger 5
ANTITHFT_HRN	  	Anti-Theft Horn Status
BARO	  kPa	Barometric Pressure
